name,composer
I'm Gonna Sit Right Down and Write Myself A Letter,Fred Ahlert
I'm In The Mood For Love,Jimmy McHugh
I'm Just A Lucky So-And-So,Duke Ellington
I'm Old Fashioned,Jerome Kern
I'm Putting All My Eggs In One Basket,Irving Berlin
I'm Sitting On Top Of The World,Louis-Henderson-Young
I'm Through With Love,Kahn-Malneck-Livingston
I've Found A New Baby,Palmer-Williams
I've Got A Crush On You,George Gershwin
I've Got My Love To Keep Me Warm,Irving Berlin
I've Got The World On A String,Harold Arlen
I've Got You Under My Skin,Cole Porter
I've Grown Accustomed To Her Face,Frederick Loewe
I've Heard That Song Before,Jule Styne
I've Never Been In Love Before,Frank Loesser
I've Told Eve'ry Little Star,Jerome Kern
Idle Moments,Grant Green
If Ever I Would Leave You,Frederick Loewe
If I Could Be With You,James Johnson
If I Didn't Care,Jack Lawrence
If I Had You,Campbell-Connelly-Shapiro
If I Loved You,Richard Rodgers
If I Ruled The World,Leslie Bricusse
If I Should Lose You,Ralph Rainger
If I Were A Bell,Frank Loesser
If There Is Someone Lovelier,Dietz-Schwartz
If You Could See Me Now,Tadd Dameron
If You Ever Should Leave,Cahn-Chaplin
If You Never Come To Me,Antonio-Carlos Jobim
Ill Wind,Harold Arlen
Imagination,Jimmy Van-Heusen
Impressions,John Coltrane
In A Little Spanish Town,Wayne-Lewis-Young
In A Mellow Tone (In A Mellotone),Duke Ellington
In a Sentimental Mood,Duke Ellington
In A Shanty In Old Shanty Town,Little-Siras
In Her Family,Pat Metheny
In Love In Vain,Leo Robin Jerome Kern
In Pursuit Of The 27th Man,Horace Silver
In The Cool, Cool, Cool Of The Evening,Hoagy Carmichael
In The Middle Of A Kiss,Sam Coslow
In The Still Of The Night,Cole Porter
In The Wee Small Hours Of The Morning,Mann-Hilliard
In Walked Bud,Thelonious Monk
In Your Own Sweet Way,Dave Brubeck
Incentive,Horace Silver
Indian Summer,Victor-Aldubin-Herbert
Indiana (Back Home Again In),James Hanley
Infant Eyes,Wayne Shorter
Inner Urge,Joe Henderson
Interplay,Bill Evans
Invitation,Bronislau Kaper
Iris,Wayne Shorter
Irresistable You,Gene DePaul
Is That So?,Duke Pearson
Is You Is Or Is You Ain't (Ma' Baby),Austin-Jordan
Isfahan,Strayhorn-Ellington
Island Birdie,McCoy Tyner
Isn't It A Lovely Day (To Be Caught In The Rain),Irving Berlin
Isn't It A Pity,George Gershwin
Isn't It Romantic?,Richard Rodgers
Isotope,Joe Henderson
Israel,John Carisi
It Ain't Necessarily So,George Gershwin
It Could Happen To You,Jimmy Van-Heusen
It Don't Mean A Thing,Duke Ellington
It Had To Be You,Isham Jones
It Might As Well Be Spring,Richard Rodgers
It Never Entered My Mind,Richard Rodgers
It Only Happens When I Dance With You,Irving Berlin
It Was So Good While It Lasted,Poll-Ackers
It's A Big Wide Wonderful World,John Rox
It's A Blue World,Wright-Forrest
It's A Dance,Michel Petrucciani
It's A Good Day,Peggy Lee
It's A Lovely Day Today,Irving Berlin
It's A Raggy Waltz,Dave Brubeck
It's All Right With Me,Cole Porter
It's Been A Long Long Time,Jule Styne
It's De-lovely,Cole Porter
It's Easy To Remember,Richard Rodgers
It's Impossible,Armando Manzanero
It's Just Talk,Pat Metheny
It's Magic,Jule Styne
It's Only a Paper Moon,Harold Arlen
It's The Talk Of The Town,Jerry Livingston
It's You Or No One,Jule Styne
Jackie-ing,Thelonious Monk
Jaco,Pat Metheny
James,Pat Metheny
Jazz Folk,John Abercrombie
Je Ne Sais Pas,Hampton-Jones
Jeannie's Song,Marchel Ivery
Jeannine,Duke Pearson
Jeepers Creepers,Harry Warren
Jersey Bounce,Plater-Bradshaw-Johnson
Jinrikisha,Joe Henderson
Jitterbug Waltz,Fats Waller
Jody Grind, The,Horace Silver
Joker, The,Lee Morgan
Jordu,Duke Jordan
Joshua,Victor Feldman
Joy Spring,Clifford Brown
Juju,Wayne Shorter
Jumpin With Symphony Sid,Lester Young
Just A Gigolo,Leonello Casucci
Just A-Sittin' And A-Rockin,Ellington-Strayhorn-Gaines
Just Friends,John Klenner
Just In Time,Jule Styne
Just In Tune,John Abercrombie
Just One More Chance,Johnston-Coslow
Just One Of Those Things,Cole Porter
Just Squeeze Me,Duke Ellington
Just You, Just Me,Jesse Greer
Kary's Trance,Lee Konitz
Katrina Ballerina,Woody Shaw
Keepin' Myself For You,Vincent Youmans
Kicker, The,Joe Henderson
Kids Are Pretty People,Thad Jones
Killer Joe,Benny Golson
Ko Ko,Charlie Parker
L-O-V-E,Gabler-Kaempfert
La Fiesta,Chick Corea
La Vie En Rose,Louiguy-Piaf
Ladies In Mercedes,Steve Swallow
Lady Bird,Tadd Dameron
Lady is a Tramp, The,Richard Rodgers
Lady's In Love With You, The,Burton Lane
Lakes,Pat Metheny
Lament,J.J. Johnson
Lamp Is Low, The,DeRose-Shefter
Last Night When We Were Young,Harold Arlen
Last Time I Saw Paris, The,Henry Mancini
Last Train Home,Pat Metheny
Laura,David Raksin
Laurie,Bill Evans
Lazy Afternoon,Latouche-Moross
Lazy Bird,John Coltrane
Lazy River,Hoagy Carmichael
Lazybones,Carmichael-Mercer
Leaving,Richie Beirach
Leila,Wes Montgomery
Lennie-Bird,Lennie Tristano
Lennie's Pennies,Lennie Tristano
Let There Be Love,Rand-Grant
Let There Be You,Young-Cavanaugh
Let's Call The Whole Thing Off,George Gershwin
Let's Call This,Thelonious Monk
Let's Cool One,Thelonious Monk
Let's Do It (Let's Fall In Love),Cole Porter
Let's Face The Music And Dance,Irving Berlin
Let's Fall In Love,Harold Arlen
Let's Get Away From It All,Dennis-Adair
Let's Get Lost,Jimmy McHugh
Li'l Darling,Neal Hefti
Light Blue,Thelonious Monk
Ligia,Antonio-Carlos Jobim
Like A Lover,Dori Caymmi-Nelson Motta
Like Someone In Love,Jimmy Van-Heusen
Like Sonny,John Coltrane
Lily of The Valley,Traditional
Limbo,Wayne Shorter
Limehouse Blues,Braham-Furber
Line For Lyons,Gerry Mulligan
Linger Awhile,Vincent Rose
Litha,Chick Corea
Little B's Poem,Bobby Hutcherson
Little Boat (O Barquinho),Roberto Menescal
Little Chicago Fire,Frank Foster
Little Dancer,Tom Harrell
Little Girl Blue,Richard Rodgers
Little Niles,Randy Weston
Little Peace In C For You,Michel Petrucciani
Little Rootie Tootie,Thelonious Monk
Little Sunflower,Freddie Hubbard
Little Waltz,Ron Carter
Little Willie Leaps,Charlie Parker
Liza,George Gershwin
Locomotion,John Coltrane
Lone Jack (Page 1),Pat Metheny
Lone Jack (Page 2,Solos),Pat Metheny
Lonely Dreams,Terry Gibbs
Lonesome Road, The,Austin-Shilkret
Long Ago And Far Away,Jerome Kern
Lonnie's Lament,John Coltrane
Look For The Silver Lining,Jerome Kern
Look Of Love, The,Burt Bacharach
Look To The Rainbow,Burton Lane
Look To The Sky,Antonio-Carlos Jobim
Looking Up,Michel Petrucciani
Loop, The,Chick Corea
Lotus Blossom,Billy Strayhorn
Lotus Eaters Bittersweet,Billy Strayhorn
Love For Sale,Cole Porter
Love Is Just Around The Corner,Lewis Gensler
Love Me Or Leave Me,Walter Donaldson
Love Nest, The,Louis Hirsch
Love Vibrations,Horace Silver
Love Walked In,George Gershwin
Lover,Richard Rodgers
Lover Man,Davis-Ramirez-Sherman
Lover, Come Back To Me,Sigmund Romberg
Lucky Southern,Keith Jarrett
Lullaby In Rhythm,Goodman-Hirsch
Lullaby Of Birdland,George Shearing
Lullaby Of The Leaves,Bernice Petkere
Lulu's Back In Town,Harry Warren
Lush Life,Billy Strayhorn
Lyresto,Kenny Burrell
Ma Belle Hélène,Kenny Wheeler
Mack The Knife,Weill-Brecht
Mahjong,Wayne Shorter
Maiden Voyage,Herbie Hancock
Make Someone Happy,Jule Styne
Making Whoopee,Walter Donaldson
Mambo Inn,Bauza-Sampson-Woodlen
Man I Love, The,George Gershwin
Man That Got Away, The,Harold Arlen
Manha De Carnaval (Black Orpheus),Luiz Bonfa
Manhattan,Richard Rodgers
Manoir De Mes Rêves (Django's Castle),Django Reinhardt
Manteca,Dizzy Gillespie
Mas Que Nada,Jorge Ben
Masquerade Is Over, The,Allie Wrubel
Maybe I Should Change My Ways,Duke Ellington
Maybe September,Percy Faith
